country_code,year,PIB,country_name,continent_name,pop_active,pop_total,earth_footprint,IHD,pib_per_capta,measure,energy_value,earth_footprint_continent_mean_on_year,pop_active_continent_mean_on_year,pop_total_continent_mean_on_year,IHD_continent_mean_on_year,pib_per_capta_continent_mean_on_year,energy_value_continent_mean_on_year
ROU,1990,38995454545.4545,Romania,Europe,12105745,23201835,2.151724073277444,0.701,1680.705622872264,PC_PRYENRGSUPPLY,2.54,NA,9326802.846153846,19935842.46153846,0.7413076923076923,NA,9.456666666666667
RUS,1990,516814274021.956,Russian Federation,Europe,76000840,148292000,NA,0.734,3485.112305599466,PC_PRYENRGSUPPLY,3.01,NA,9326802.846153846,19935842.46153846,0.7413076923076923,NA,9.456666666666667
RUS,1990,516814274021.956,Russian Federation,Asia,76000840,148292000,NA,0.734,3485.112305599466,PC_PRYENRGSUPPLY,3.01,NA,40442472.19444445,89312707,0.5965555555555555,NA,NA
RWA,1990,2550185618.14774,Rwanda,Africa,3295376,7288882,0.3611811076711356,0.25,349.87335755301564,NA,NA,NA,4283725.828571429,12017959.885714285,0.4154857142857143,NA,NA
SAU,1990,117630271802.403,Saudi Arabia,Asia,5040975,16233785,1.0282151245250988,0.697,7246.016366633105,PC_PRYENRGSUPPLY,0.02,NA,40442472.19444445,89312707,0.5965555555555555,NA,NA
SDN,1990,12408647540.9836,Sudan,Africa,5477865,20147590,NA,0.331,615.8874357173041,PC_PRYENRGSUPPLY,82.55,NA,4283725.828571429,12017959.885714285,0.4154857142857143,NA,NA
SEN,1990,7237100724.34196,Senegal,Africa,2100234,7526307,0.6222115781042945,0.367,961.5739464709532,PC_PRYENRGSUPPLY,56.74,NA,4283725.828571429,12017959.885714285,0.4154857142857143,NA,NA
SGP,1990,36144336768.7023,Singapore,Asia,1508998,3047132,2.268841160090682,0.718,11861.756159136625,PC_PRYENRGSUPPLY,0.3,NA,40442472.19444445,89312707,0.5965555555555555,NA,NA
SLE,1990,649644826.800447,Sierra Leone,Africa,1569204,4319762,0.4950327089897335,0.275,150.38903226623296,NA,NA,NA,4283725.828571429,12017959.885714285,0.4154857142857143,NA,NA
SLV,1990,4817542204.02673,El Salvador,North America,1921890,5270079,0.5742968612942535,0.529,914.1309274541671,PC_PRYENRGSUPPLY,68.56,NA,12108161.125,26210511.6875,0.626875,4749.58475050836,NA
SRB,1990,NA,Serbia,Europe,3322451,7586000,NA,0.718,NA,PC_PRYENRGSUPPLY,10.06,NA,9326802.846153846,19935842.46153846,0.7413076923076923,NA,9.456666666666667
STP,1990,NA,Sao Tome and Principe,Africa,34117,119209,0.5587455459473453,0.453,NA,NA,NA,NA,4283725.828571429,12017959.885714285,0.4154857142857143,NA,NA
SVK,1990,12694544692.7374,Slovakia,Europe,2618501,5299187,NA,0.739,2395.56458240432,PC_PRYENRGSUPPLY,1.54,NA,9326802.846153846,19935842.46153846,0.7413076923076923,NA,9.456666666666667
SVN,1990,18130730932.2034,Slovenia,Europe,936467,1998161,NA,0.767,9073.708741289316,PC_PRYENRGSUPPLY,9.12,NA,9326802.846153846,19935842.46153846,0.7413076923076923,NA,9.456666666666667
SWE,1990,258443064928.702,Sweden,Europe,4743268,8558835,3.0759956934873904,0.816,30196.056464308753,PC_PRYENRGSUPPLY,24.43,NA,9326802.846153846,19935842.46153846,0.7413076923076923,NA,9.456666666666667
TGO,1990,1628427515.41881,Togo,Africa,1654699,3774312,0.5347992470671653,0.405,431.4501597692003,PC_PRYENRGSUPPLY,83.45,NA,4283725.828571429,12017959.885714285,0.4154857142857143,NA,NA
THA,1990,85343063965.9182,Thailand,Asia,29883718,56558186,0.7581443541303745,0.574,1508.9427367051376,PC_PRYENRGSUPPLY,36.03,NA,40442472.19444445,89312707,0.5965555555555555,NA,NA
TJK,1990,2629395066.27017,Tajikistan,Asia,1247573,5283814,NA,0.623,497.6320260838421,PC_PRYENRGSUPPLY,26.73,NA,40442472.19444445,89312707,0.5965555555555555,NA,NA
TON,1990,113563821.577404,Tonga,Oceania,32016,95069,0.8328784015810945,0.648,1194.541034168909,NA,NA,1.6413730980372914,NA,3720647.285714286,0.6564285714285715,NA,NA
